movie_name,movie_rating,movie_cast
Avengers: Endgame,8.8,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth"
John Wick: Chapter 3 - Parabellum,8.1,"Keanu Reeves,Halle Berry,Ian McShane,Laurence Fishburne"
Pokémon Detective Pikachu,7.0,"Ryan Reynolds,Justice Smith,Kathryn Newton,Bill Nighy"
"Extremely Wicked, Shockingly Evil and Vile",6.7,"Lily Collins,Zac Efron,Angela Sarafyan,Sydney Vollmer"
Wine Country,5.5,"Amy Poehler,Rachel Dratch,Ana Gasteyer,Maya Rudolph"
It Chapter Two,,"James McAvoy,Jessica Chastain,Bill Skarsgård,Bill Hader"
Aladdin,7.4,"Will Smith,Mena Massoud,Naomi Scott,Marwan Kenzari"
Spider-Man: Far from Home,,"Zendaya,Tom Holland,Marisa Tomei,Jake Gyllenhaal"
Maleficent: Mistress of Evil,,"Angelina Jolie,Elle Fanning,Ed Skrein,Michelle Pfeiffer"
Angel Has Fallen,,"Gerard Butler,Lance Reddick,Piper Perabo,Morgan Freeman"
Brightburn,6.6,"Elizabeth Banks,David Denman,Jackson A. Dunn,Abraham Clinkscales"
Rocketman,7.7,"Taron Egerton,Jamie Bell,Richard Madden,Bryce Dallas Howard"
Student of the Year 2,2.1,"Tiger Shroff,Tara Sutaria,Ananya Panday,Aditya Seal"
Shazam!,7.5,"Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer"
Long Shot,7.2,"Charlize Theron,Seth Rogen,June Diane Raphael,O'Shea Jackson Jr."
John Wick,7.4,"Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe"
The Hustle,5.2,"Anne Hathaway,Rebel Wilson,Alex Sharp,Tim Blake Nelson"
Avengers: Infinity War,8.5,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans"
Midsommar,,"Florence Pugh,Will Poulter,Jack Reynor,William Jackson Harper"
Once Upon a Time ... in Hollywood,9.8,"Leonardo DiCaprio,Brad Pitt,Margot Robbie,Margaret Qualley"
Dark Phoenix,,"Sophie Turner,Jennifer Lawrence,James McAvoy,Jessica Chastain"
Captain Marvel,7.1,"Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law"
John Wick: Chapter 2,7.5,"Keanu Reeves,Riccardo Scamarcio,Ian McShane,Ruby Rose"
Godzilla: King of the Monsters,,"Kyle Chandler,Vera Farmiga,Millie Bobby Brown,Ken Watanabe"
Tolkien,7.0,"Nicholas Hoult,Lily Collins,Colm Meaney,Derek Jacobi"
Cold Pursuit,6.2,"Liam Neeson,Laura Dern,Micheál Richardson,Michael Eklund"
It,7.4,"Bill Skarsgård,Jaeden Martell,Finn Wolfhard,Sophia Lillis"
Booksmart,7.5,"Kaitlyn Dever,Beanie Feldstein,Jessica Williams,Jason Sudeikis"
Fighting with My Family,7.3,"Dwayne Johnson,Lena Headey,Vince Vaughn,Florence Pugh"
Judy,,"Jessie Buckley,Renée Zellweger,Bella Ramsey,Rufus Sewell"
Greta,6.1,"Isabelle Huppert,Chloë Grace Moretz,Maika Monroe,Jane Perry"
The Dead Don't Die,6.0,"Bill Murray,Adam Driver,Alyssa Maria App,Carl Arcilesi"
The Professor,6.9,"Johnny Depp,Rosemarie DeWitt,Odessa Young,Danny Huston"
